date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2020-01-10,329.05,4718300,3265.3501,3214580000,325.386,309.886,47.468,7.263,7.599,-0.068,-20,294,0,-0.0028551928420923,-0.0168373531866272
2020-01-13,338.92,6290000,3288.1299,3459390000,327.41,310.836,51.49,7.459,7.571,-0.0404,-16,396,1,0.0069762197933997,0.0230192216288764
2020-01-14,338.69,7199400,3283.1499,3687620000,329.419,311.861,54.352,7.509,7.559,-0.0214,-9,421,0,-0.0015145387048121,0.0008359124803343
2020-01-15,339.07,5158000,3289.29,3721490000,331.162,312.906,54.55,7.493,7.545,-0.1006,-32,318,1,0.0018701857018468,-0.0007482157588309
2020-01-16,338.62,5016000,3316.8101,3540580000,332.319,313.822,54.651,7.359,7.508,-0.0921,-35,380,0,0.0083665775896926,-0.0096937371732593
2020-01-17,339.67,6066500,3329.6201,3726220000,333.262,314.854,58.546,7.254,7.457,-0.0448,-20,446,1,0.0038621445345936,-0.0007613235553247
2020-01-21,338.11,14350300,3320.79,4104840000,333.557,315.845,62.829,6.965,7.359,-0.0661,-93,1406,0,-0.0026519842308736,-0.0019407086769486
2020-01-22,326.0,21730000,3321.75,3623780000,333.012,316.573,51.747,5.693,7.026,-0.109,-143,1312,0,0.0002890878375325,-0.0361058338669313
2020-01-23,349.6,18200300,3325.54,3766710000,333.837,317.734,61.388,6.514,6.923,-0.0222,-27,1214,1,0.0011409648528637,0.0712516731839461
2020-01-24,353.16,17939700,3295.47,3708780000,334.835,318.914,65.75,7.367,7.012,-0.0627,-52,829,1,-0.0090421405245464,0.0192252068861025
2020-01-27,342.88,7709500,3243.6299,3831050000,335.348,319.931,54.057,7.131,7.036,-0.125,-54,432,0,-0.0157307151938873,-0.0133779041287993
2020-01-28,348.52,6821600,3276.24,3531570000,336.319,321.239,60.16,7.315,7.092,-0.0969,-44,454,1,0.0100535822536349,0.0063953211528045
2020-01-29,343.16,7643500,3273.3999,3600250000,337.312,322.31,52.313,6.948,7.063,-0.1429,-55,385,0,-0.000866877884404,-0.0145124403756669
2020-01-30,347.74,5328100,3283.6599,3790350000,338.52,323.364,57.083,6.947,7.04,-0.1888,-64,339,1,0.0031343558115219,0.0102121880747116
2020-01-31,345.09,5230000,3225.52,4529700000,339.284,324.215,59.862,6.656,6.963,-0.1661,-52,313,0,-0.017705822701066,0.0100851865936293
2020-02-03,358.0,6670600,3248.9199,3760460000,340.889,325.323,61.309,7.381,7.047,-0.0024,-1,420,1,0.0072546132096529,0.030155917376571
2020-02-04,369.01,7161500,3297.5901,3996900000,342.548,326.6,65.934,8.744,7.386,-0.0641,-36,562,1,0.0149804247251525,0.0157737652189815
2020-02-05,369.67,6437000,3334.6899,4121480000,344.494,327.759,66.034,9.765,7.862,-0.0732,-36,492,1,0.0112505796278319,-0.0094620102123688
2020-02-06,366.95,3920400,3345.78,3887250000,345.879,328.889,64.5,10.236,8.337,-0.1286,-40,311,0,0.0033256765494147,-0.010683590364439
2020-02-07,366.77,4385200,3327.71,3733920000,347.434,329.913,63.995,10.474,8.764,-0.0652,-23,353,0,-0.0054008332885008,0.0049103032435355
2020-02-10,371.07,5294100,3352.0901,3462730000,349.535,331.085,66.553,10.885,9.188,-0.0748,-32,428,1,0.0073263896192876,0.0043975790804424
2020-02-11,373.69,4772900,3357.75,3762940000,351.274,332.24,76.474,11.291,9.609,-0.0309,-12,388,1,0.0016884689346505,0.0053721934740593
2020-02-12,380.01,4624800,3379.45,3930910000,353.34,333.547,70.889,11.985,10.084,-0.0652,-23,353,1,0.0064626610081155,0.0104497530249063
2020-02-13,381.4,4485400,3373.9399,3500890000,355.456,334.975,69.994,12.503,10.568,-0.0979,-41,419,1,-0.0016304724141502,0.0052882708931376
2020-02-14,380.4,3736300,3380.1599,3419700000,357.545,336.46,80.584,12.687,10.992,-0.0934,-27,289,0,0.0018435420263414,-0.0044654612712287
2020-02-18,387.78,5173900,3370.29,3750400000,359.951,338.129,81.119,13.275,11.448,-0.0869,-37,426,1,-0.0029199506212709,0.0223205815360973
2020-02-19,386.19,4896400,3386.1499,3614200000,362.354,339.796,86.276,13.457,11.85,-0.0543,-20,368,0,0.0047057968305397,-0.0088060598662815
2020-02-20,386.0,4079400,3373.23,4019180000,365.354,341.369,84.832,13.432,12.166,-0.0867,-26,300,0,-0.0038155133061297,0.0033235274960362
2020-02-21,380.07,3930100,3337.75,3908780000,366.878,342.92,80.052,12.786,12.29,-0.1168,-34,291,0,-0.0105181087562958,-0.0048445855442222
2020-02-24,368.7,6936400,3225.8899,4851160000,367.655,344.432,59.442,11.227,12.078,-0.1522,-56,368,0,-0.0335136244476068,0.0035980825737415
2020-02-25,360.09,6481200,3128.21,5596760000,368.516,345.655,41.78,9.191,11.5,-0.0868,-33,380,0,-0.0302799856870502,0.0069276667285473
2020-02-26,379.24,8934100,3116.3899,5484650000,370.052,347.271,56.577,9.018,11.004,-0.0626,-30,479,1,-0.0037785506727489,0.0569596998299041
2020-02-27,371.71,10967700,2978.76,7064710000,371.479,348.735,53.069,8.18,10.439,-0.1213,-91,750,0,-0.0441632479940972,0.0243077475194636
2020-02-28,369.03,11168600,2954.22,8569570000,372.544,350.031,51.411,7.216,9.794,-0.12,-42,350,0,-0.0082383273576925,0.0010284056445291
