date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2020-10-02,503.06,6071200,490.103,496.411,57.935,0.701,-2.651,1.74,287.374,10.575,0.037,1153950000.0,0
2020-10-05,520.65,4088100,490.332,497.215,57.395,2.613,-1.599,1.74,287.374,10.945,0.037,1153950000.0,1
2020-10-06,505.87,4199000,490.275,497.419,56.497,2.902,-0.698,1.74,287.374,10.634,0.037,1153950000.0,0
2020-10-07,534.66,7988700,491.998,498.342,67.467,5.392,0.52,1.74,287.374,11.239,0.037,1153950000.0,1
2020-10-08,531.79,5386500,494.554,499.288,66.519,7.053,1.826,1.74,287.374,11.179,0.037,1153950000.0,0
2020-10-09,539.44,4781300,497.425,500.361,64.681,8.884,3.238,1.74,287.374,11.34,0.037,1153950000.0,1
2020-10-12,539.81,5391100,500.602,501.38,63.98,10.246,4.639,1.74,287.374,11.348,0.037,1153950000.0,1
2020-10-13,554.09,5602500,503.508,502.489,74.893,12.336,6.179,1.74,287.374,11.648,0.037,1153950000.0,1
2020-10-14,541.45,9499000,506.387,503.125,69.221,12.825,7.508,1.74,287.374,11.382,0.037,1153950000.0,0
2020-10-15,541.94,5113100,509.974,503.922,67.521,13.101,8.627,1.74,287.374,11.392,0.037,1153950000.0,1
2020-10-16,530.79,6347400,513.016,504.356,61.674,12.278,9.357,1.74,287.374,11.158,0.037,1153950000.0,0
2020-10-19,530.72,7567500,515.184,505.076,61.007,11.488,9.783,1.74,287.374,11.157,0.037,1153950000.0,0
2020-10-20,525.42,10047200,516.897,505.917,57.561,10.315,9.89,1.74,287.374,11.045,0.037,1153950000.0,0
2020-10-21,489.05,17405700,517.818,506.359,39.123,6.378,9.187,1.74,287.374,10.281,0.037,1153950000.0,0
2020-10-22,485.23,6997900,518.426,506.554,44.291,2.915,7.933,1.74,287.374,10.2,0.037,1153950000.0,0
2020-10-23,488.28,4927900,518.696,506.693,38.572,0.412,6.429,1.74,287.374,10.264,0.037,1153950000.0,1
2020-10-26,488.24,6186100,518.575,506.804,43.053,-1.556,4.832,1.74,287.374,10.264,0.037,1153950000.0,0
2020-10-27,488.93,3627200,518.348,506.936,26.855,-3.026,3.26,1.74,287.374,10.278,0.037,1153950000.0,1
2020-10-28,486.24,5992700,517.658,506.823,26.904,-4.357,1.737,1.74,287.374,10.222,0.037,1153950000.0,0
2020-10-29,504.21,11120700,516.494,507.217,33.829,-3.917,0.606,1.74,287.374,10.599,0.037,1153950000.0,1
