date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2021-08-05,524.89,2556700,524.702,515.042,45.422,-1.013,0.091,2.97,11.03405507672903,177.84848484848484,0.0624343073365566,-174039000.0,-0.0364,-11,302
2021-08-06,520.55,1919800,523.931,515.406,40.474,-0.848,-0.097,2.97,10.94282110573891,177.84848484848484,0.0624343073365566,-174039000.0,-0.0664,-14,211
2021-08-09,519.97,1367800,523.064,515.728,40.906,-0.756,-0.229,2.97,10.930628547403826,177.84848484848484,0.0624343073365566,-174039000.0,-0.0513,-8,156
2021-08-10,515.84,1960500,521.822,515.988,52.32,-1.005,-0.384,2.97,10.8438091233971,177.84848484848484,0.0624343073365566,-174039000.0,-0.0854,-17,199
2021-08-11,512.4,1673900,520.044,516.255,50.64,-1.462,-0.6,2.97,10.771494639478664,177.84848484848484,0.0624343073365566,-174039000.0,-0.0588,-11,187
2021-08-12,510.72,1685700,518.433,516.484,45.037,-1.938,-0.867,2.97,10.73617826361152,177.84848484848484,0.0624343073365566,-174039000.0,-0.023,-5,217
2021-08-13,515.92,2177700,517.713,517.014,49.445,-1.874,-1.069,2.97,10.845490855581248,177.84848484848484,0.0624343073365566,-174039000.0,-0.0822,-25,304
2021-08-16,517.92,2032800,516.996,517.478,49.028,-1.643,-1.184,2.97,10.88753416018499,177.84848484848484,0.0624343073365566,-174039000.0,-0.0044,-1,227
2021-08-17,518.91,2309800,516.388,517.963,49.622,-1.365,-1.22,2.97,10.908345595963842,177.84848484848484,0.0624343073365566,-174039000.0,-0.0511,-12,235
2021-08-18,521.87,2582000,516.801,518.552,57.703,-0.895,-1.155,2.97,10.97056968677738,177.84848484848484,0.0624343073365566,-174039000.0,-0.0128,-4,312
2021-08-19,543.71,7497300,518.397,519.71,69.226,1.226,-0.679,2.97,11.429682573050242,177.84848484848484,0.0624343073365566,-174039000.0,0.0071,7,984
2021-08-20,546.88,3776400,519.971,520.903,73.083,3.127,0.082,2.97,11.496321210847173,177.84848484848484,0.0624343073365566,-174039000.0,0.0367,16,436
2021-08-23,553.33,2602000,521.813,522.194,80.0,5.094,1.085,2.97,11.63191086819424,177.84848484848484,0.0624343073365566,-174039000.0,0.0343,12,350
2021-08-24,553.41,2109500,523.538,523.264,77.997,6.584,2.185,2.97,11.633592600378387,177.84848484848484,0.0624343073365566,-174039000.0,-0.0317,-9,284
2021-08-25,547.58,2065600,524.952,524.378,68.097,7.212,3.19,2.97,11.511036367458484,177.84848484848484,0.0624343073365566,-174039000.0,-0.0345,-10,290
2021-08-26,550.12,1595500,526.746,525.532,74.281,7.824,4.117,2.97,11.564431364305234,177.84848484848484,0.0624343073365566,-174039000.0,-0.0538,-15,279
2021-08-27,558.92,3252600,528.813,526.744,78.18,8.916,5.077,2.97,11.749421904561698,177.84848484848484,0.0624343073365566,-174039000.0,0.0099,4,406
2021-08-30,566.18,2434800,531.364,528.052,84.842,10.249,6.111,2.97,11.90203910027328,177.84848484848484,0.0624343073365566,-174039000.0,-0.0179,-6,335
2021-08-31,569.19,2431900,534.283,529.496,89.542,11.417,7.172,2.97,11.965314273701914,177.84848484848484,0.0624343073365566,-174039000.0,0.0172,6,349
2021-09-01,582.07,5626200,537.519,530.961,92.977,13.23,8.384,2.97,12.236073155350011,177.84848484848484,0.0624343073365566,-174039000.0,0.0154,12,781
2021-09-02,588.55,6179900,540.702,532.477,93.083,15.016,9.71,2.97,12.372293462266134,177.84848484848484,0.0624343073365566,-174039000.0,0.0074,6,808
